ID,SMILES,act_mean,Type
CHEMBL100026,CO[C@H]1[C@H](C)O[C@@H](Oc2ccc3c(CC(=O)O)cc(=O)oc3c2C)[C@H](O)[C@@H]1OC(=O)c1ccc(C)[nH]1,25,1
CHEMBL100206,O=C(O)CCSC1=CC(=O)c2ccccc2C1=O,12.5,1
CHEMBL100214,CCOC(=O)CCCNc1[nH]nc2cccc(OCc3ccc(C(C)(C)C)cc3)c12,16,1
CHEMBL100354,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCNCC3)nc21,1.56,1
CHEMBL100376,CCCCCCCc1cc(O[C@@H]2O[C@@H](C)[C@H](OC)[C@@H](OC(=O)c3ccc(C)[nH]3)[C@H]2O)c(C)c2oc(=O)c(C(=O)O)cc12,1.42,1
CHEMBL100449,CC(=O)NC[C@H]1CC(c2ccc(-n3cc(C#N)cn3)c(F)c2)=NO1,2,1
CHEMBL100594,Cc1ccccc1-n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,3.1,1
CHEMBL100633,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)ccc1O,0.245342,1
CHEMBL100688,CC(C)(C)c1ccc(NC(=O)c2cc(Cl)cc(Cl)c2O)cc1,2,1
CHEMBL100719,O=C(Nc1ccc(Cl)c(Cl)c1)c1cccc(O)c1O,8,1
CHEMBL100920,Cc1c(F)ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(C)NC(C)C4)cc32)c1F,1.6,1
CHEMBL1010,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,4.42927,1
CHEMBL101048,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2)CC(C)N1,1.6,1
CHEMBL101140,CCn1cc(C(=O)O)c(=O)c2cc(Cl)c(N3CCCC3)nc21,12.5,1
CHEMBL1013,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,2.087442,1
CHEMBL101353,O=C(O)c1c(O)cccc1OCCCCCc1ccccc1,64,0
CHEMBL101406,CCCCCCCCCCCOc1cccc(O)c1C(=O)O,12,1
CHEMBL101476,C[C@H](N)C(=O)NC[C@H]1OCC[C@H]1SC1=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@H]2[C@H]1C,4.06,1
CHEMBL101484,C/C(S)=N/C[C@H]1CC(c2cc(F)c(N3CCOCC3)c(F)c2)=NO1,1,1
CHEMBL101506,Oc1cc(O)cc(/C=C/c2ccccc2)c1,125,0
CHEMBL101583,O=C(CC(=O)C(F)(F)F)N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,21,1
CHEMBL101673,Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc32)c(F)c1,1.6,1
CHEMBL101765,FC(F)(F)c1cccc(CCNc2ccc3ccccc3c2)c1,26,1
CHEMBL101837,Clc1ccc(CCNc2cccc3ccccc23)c(Cl)c1,21,1
CHEMBL101839,COc1ccc(OC)c(CCNc2cccc3ccccc23)c1,48,0
CHEMBL101931,C[S+](O)CC(=O)N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,128,0
CHEMBL101950,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC(C)N1,0.4,1
CHEMBL101975,O=C(O)c1c(O)cccc1OCCC(c1ccccc1)(c1ccccc1)c1ccccc1,6,1
CHEMBL101990,Cc1cc(F)ccc1-n1cc(C(=O)O)c(=O)c2cc(F)c(N3CC(C)NC(C)C3)cc21,1.6,1
CHEMBL102066,CCn1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCCC3)nc21,25,1
CHEMBL102079,CC(=O)NCC1CC(SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)CO1,8.06,1
CHEMBL102131,C[C@H](N)C(=O)NCC1CC(SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)CO1,4.06,1
CHEMBL102205,CCCCCCCCOc1cccc(O)c1C(=O)O,64,0
CHEMBL102296,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3C=CC=CC=C3)nc21,3.13,1
CHEMBL102370,COC(=O)N1CC=C(c2ccc(C3=NOC(CNC(C)=O)C3)cc2)CC1,16,1
CHEMBL102421,CC(=O)NCC1CC(c2ccc(C3=CCN(C(C)=O)CC3)cc2)=NO1,8,1
CHEMBL102462,CCCCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC1,3.13,1
CHEMBL102466,C=Cn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)nc21,3.13,1
CHEMBL102501,CC(=O)NC[C@H]1CC(c2cc(F)c(-n3ccnc3)c(F)c2)=NO1,6,1
CHEMBL102563,O=C(O)c1cn(-c2ccccc2F)c2cc(N3CCNCC3)c(F)cc2c1=O,0.8,1
CHEMBL102572,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC3)nc21,0.39,1
CHEMBL102617,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4ccccc4)CC3)nc21,0.78,1
CHEMBL102618,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ccccc4)CC3)nc21,6.25,1
CHEMBL102655,c1ccc2oc(N3CCCCC3)nc2c1,150,0
CHEMBL102667,CCC(C)N1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC1,1.56,1
CHEMBL102709,CCn1cc(C(=O)O)c(=O)c2ccc(N3CCN(C)CC3)nc21,25,1
CHEMBL102776,CCn1cc(C(=O)O)c(=O)c2cc(N)c(N3CCN(C)CC3)nc21,25,1
CHEMBL102820,COC1CCC(c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)CCC1=O,2,1
CHEMBL10299,CC(/C=C/C(O)=C1\C(=O)CNC1=O)=C\c1ccc2ccccc2c1,1.4,1
CHEMBL103025,CC(=O)NC[C@H]1CC(c2ccc(C3=CCN(C(=O)CO)CC3)cc2)=NO1,2,1
CHEMBL103033,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCOCC3)nc21,1.56,1
CHEMBL103107,O=C(O)c1cn(C(F)F)c2nc(N3CCNCC3)c(F)cc2c1=O,6.25,1
CHEMBL103267,CC(=O)NCC1CC(c2cc(F)c(N3CCOCC3)c(Cl)c2)=NO1,8,1
CHEMBL103309,CCn1cc(C(=O)O)c(=O)c2cc(F)c(NCCN)nc21,25,1
CHEMBL103311,CC(=O)NC[C@H]1CC(c2ccc(-n3cccc3)c(F)c2)=NO1,2,1
CHEMBL103350,CCn1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCN(C)CC3)nc21,12.5,1
CHEMBL103535,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCSCC3)nc21,1.56,1
CHEMBL103603,CC(=O)NCC1CC(c2ccc(N3CCN(C(=O)CO)CC3)cc2)=NO1,12,1
CHEMBL103668,CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC1,0.78,1
CHEMBL103693,CC(=O)NC[C@H]1CC(c2ccc(-n3cncn3)c(F)c2)=NO1,16,1
