SMILES,label
CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3N2CC2c2ccc(F)cc2)CC1,1
Cc1nn(-c2ccccc2)c(Oc2ccc(F)cc2)c1/C=C1\SC(=S)N([C@@H](Cc2ccccc2)C(=O)O)C1=O,1
CC(=O)NC[C@H]1CN(c2ccc([C@H]3[C@@H]4CN(C(N)=O)C[C@@H]43)c(F)c2)C(=O)O1,1
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1Cl,0
COc1c2c(c(O)c3cc(F)ccc13)C(=O)C1=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2,1
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,0
O=C(O)c1ccc(-n2cc(/C=N/Nc3ccc(Br)cc3)c(-c3ccc(F)c(F)c3)n2)cc1,1
C=CCc1cc(Cc2cnc(N)nc2N)ccc1O,1
CC(=O)NC[C@H]1CN(c2ccc(-c3nnc(CO)s3)c(F)c2)C(=O)O1,1
O=C(O)c1cn(C2CC2)c2cc(N3CCN(O)CC3)c(F)cc2c1=O,1
CCc1cc(Nc2nc(O)c3c(ncn3CCCCCO)n2)ccc1C,1
COc1ccc2nccc(CC[C@H]3OC[C@H](NC(=O)c4ccc(C)cc4)CO3)c2c1,1
CCN1C(NNC(=O)c2ccc([N+](=O)[O-])o2)=NS(=O)(=O)c2ccccc21,0
C=CCCCCCCCCc1ncc[nH]1,0
O=C(CSc1nnc(Cn2cnc3ccccc32)o1)Nc1ccc(Cl)cc1,0
Cc1ccc2c(C(CC(=O)O)c3c(C)n[nH]c3O)cc(=O)oc2c1,1
